날짜,총지수[2019.01=100],단독주택[2019.01=100],연립주택[2019.01=100],아파트[2019.01=100],아파트(서울)[2019.01=100],총지수(서울)[2019.01=100]
2006-07-01,70.09,79.373,68.331,67.81,66.187,67.047
2006-08-01,70.26,79.491,68.735,67.95,66.356,67.297
2006-09-01,70.599,79.698,69.49,68.25,66.764,67.816
2006-10-01,71.549,80.219,70.742,69.288,68.237,69.14
2006-11-01,73.77,81.132,73.054,71.946,72.485,72.45
2006-12-01,75.145,81.803,74.983,73.457,75.143,74.597
2007-01-01,75.802,82.11,75.823,74.199,76.469,75.734
2007-02-01,76.077,82.322,76.495,74.421,76.705,76.049
2007-03-01,76.217,82.481,76.919,74.489,76.829,76.32
2007-04-01,76.316,82.634,77.417,74.485,76.823,76.494
2007-05-01,76.342,82.744,77.813,74.406,76.668,76.552
2007-06-01,76.445,82.906,78.203,74.431,76.709,76.76
2007-07-01,76.644,83.114,78.746,74.554,76.941,77.146
2007-08-01,76.789,83.239,79.118,74.655,77.102,77.383
2007-09-01,76.991,83.452,79.733,74.767,77.271,77.707
2007-10-01,77.188,83.674,80.269,74.886,77.471,78.02
2007-11-01,77.398,83.963,80.78,75.002,77.715,78.388
2007-12-01,77.507,84.104,81.218,75.032,77.823,78.638
2008-01-01,77.72,84.268,81.842,75.161,78.199,79.187
2008-02-01,77.958,84.466,82.432,75.331,78.62,79.716
2008-03-01,78.553,84.916,83.724,75.793,79.708,80.871
2008-04-01,79.24,85.287,84.593,76.529,81.282,82.201
2008-05-01,79.721,85.569,85.507,76.975,81.968,82.905
2008-06-01,80.204,85.941,86.469,77.395,82.388,83.476
2008-07-01,80.517,86.129,87.243,77.639,82.589,83.798
2008-08-01,80.677,86.209,87.818,77.732,82.582,83.973
2008-09-01,80.863,86.332,88.179,77.897,82.596,84.137
2008-10-01,80.82,86.3,88.281,77.844,82.346,84.044
2008-11-01,80.496,86.134,88.152,77.431,81.651,83.611
2008-12-01,79.914,85.797,87.614,76.758,80.314,82.597
2009-01-01,79.471,85.59,87.168,76.244,79.578,82.043
2009-02-01,79.272,85.51,86.949,76.013,79.444,81.939
2009-03-01,79.134,85.466,86.867,75.832,79.243,81.777
2009-04-01,79.181,85.532,86.915,75.868,79.521,81.994
2009-05-01,79.266,85.542,87.001,75.976,79.658,82.069
2009-06-01,79.42,85.611,87.159,76.149,80.055,82.38
2009-07-01,79.636,85.708,87.345,76.406,80.759,82.916
2009-08-01,79.888,85.876,87.743,76.649,81.172,83.361
2009-09-01,80.46,86.195,88.49,77.265,82.135,84.295
2009-10-01,80.765,86.43,88.89,77.58,82.422,84.701
2009-11-01,80.97,86.518,89.068,77.835,82.405,84.767
2009-12-01,81.085,86.569,89.194,77.973,82.382,84.79
2010-01-01,81.189,86.648,89.292,78.087,82.455,84.88
2010-02-01,81.426,86.731,89.445,78.387,82.676,85.082
2010-03-01,81.627,86.836,89.654,78.621,82.66,85.15
2010-04-01,81.785,86.953,89.852,78.781,82.517,85.104
2010-05-01,81.823,86.992,89.844,78.826,82.216,84.918
2010-06-01,81.832,87.046,89.94,78.793,81.751,84.632
2010-07-01,81.755,87.058,89.729,78.714,81.322,84.338
2010-08-01,81.714,86.998,89.641,78.688,80.953,84.042
2010-09-01,81.793,87.011,89.622,78.812,80.747,83.892
2010-10-01,81.963,87.072,89.741,79.031,80.599,83.789
2010-11-01,82.278,87.176,89.882,79.461,80.518,83.745
2010-12-01,82.616,87.244,90.017,79.943,80.575,83.79
2011-01-01,83.003,87.388,90.209,80.456,80.7,83.912
2011-02-01,83.667,87.587,90.618,81.34,80.943,84.129
2011-03-01,84.482,87.939,91.076,82.405,81.061,84.321
2011-04-01,85.178,88.107,91.311,83.396,81.066,84.366
2011-05-01,85.77,88.223,91.479,84.254,80.998,84.378
2011-06-01,86.192,88.37,91.674,84.817,80.903,84.351
2011-07-01,86.544,88.539,91.792,85.29,80.772,84.271
2011-08-01,86.971,88.682,92.008,85.893,80.684,84.25
2011-09-01,87.445,88.987,92.255,86.487,80.596,84.229
2011-10-01,87.793,89.194,92.396,86.94,80.493,84.194
2011-11-01,88.14,89.357,92.492,87.426,80.348,84.122
2011-12-01,88.287,89.459,92.547,87.618,80.219,84.029
2012-01-01,88.425,89.553,92.626,87.785,80.089,83.954
2012-02-01,88.573,89.706,92.682,87.953,79.978,83.878
2012-03-01,88.707,89.799,92.752,88.122,79.779,83.776
2012-04-01,88.802,89.904,92.735,88.247,79.433,83.553
2012-05-01,88.845,90.024,92.774,88.272,79.224,83.424
2012-06-01,88.814,90.072,92.751,88.22,78.981,83.258
2012-07-01,88.713,90.109,92.608,88.09,78.557,82.911
2012-08-01,88.624,90.116,92.59,87.956,78.189,82.678
2012-09-01,88.49,90.145,92.491,87.768,77.684,82.324
2012-10-01,88.391,90.207,92.451,87.614,77.213,82.02
2012-11-01,88.323,90.222,92.374,87.531,76.907,81.812
2012-12-01,88.262,90.216,92.307,87.457,76.626,81.609
2013-01-01,88.214,90.245,92.299,87.38,76.339,81.42
2013-02-01,88.162,90.27,92.278,87.31,76.139,81.278
2013-03-01,88.122,90.297,92.209,87.264,75.944,81.121
2013-04-01,88.124,90.358,92.195,87.253,75.847,81.058
2013-05-01,88.112,90.392,92.156,87.233,75.806,81
2013-06-01,88.077,90.424,92.085,87.181,75.648,80.883
2013-07-01,88.074,90.509,92.042,87.158,75.398,80.689
2013-08-01,88.04,90.555,92.01,87.099,75.181,80.532
2013-09-01,88.086,90.613,92.054,87.136,75.143,80.525
2013-10-01,88.265,90.75,92.149,87.339,75.213,80.58
2013-11-01,88.419,90.83,92.171,87.54,75.221,80.573
2013-12-01,88.588,90.945,92.222,87.748,75.219,80.573
2014-01-01,88.689,91.061,92.258,87.857,75.244,80.585
2014-02-01,88.834,91.174,92.338,88.023,75.34,80.658
2014-03-01,89.083,91.321,92.431,88.333,75.516,80.795
2014-04-01,89.267,91.444,92.494,88.557,75.577,80.836
2014-05-01,89.327,91.53,92.531,88.613,75.553,80.828
2014-06-01,89.389,91.632,92.568,88.664,75.478,80.773
2014-07-01,89.471,91.742,92.595,88.745,75.473,80.775
2014-08-01,89.591,91.872,92.659,88.869,75.496,80.799
2014-09-01,89.836,92.068,92.769,89.153,75.73,80.971
2014-10-01,90.101,92.226,92.903,89.472,75.951,81.137
2014-11-01,90.284,92.368,92.991,89.684,76.028,81.213
2014-12-01,90.45,92.483,93.054,89.884,76.04,81.218
2015-01-01,90.57,92.588,93.096,90.021,76.104,81.262
2015-02-01,90.777,92.719,93.236,90.26,76.25,81.387
2015-03-01,91.151,93.039,93.508,90.67,76.613,81.675
2015-04-01,91.602,93.341,93.862,91.182,77.033,82.027
2015-05-01,91.942,93.559,94.036,91.593,77.333,82.295
2015-06-01,92.365,93.893,94.315,92.069,77.715,82.643
2015-07-01,92.757,94.247,94.653,92.479,78.079,83.003
2015-08-01,93.12,94.523,94.834,92.9,78.509,83.354
2015-09-01,93.557,94.765,95.023,93.441,79.084,83.775
2015-10-01,93.875,95.034,95.297,93.776,79.475,84.14
2015-11-01,94.275,95.354,95.493,94.24,80.015,84.561
2015-12-01,94.447,95.524,95.586,94.428,80.268,84.744
2016-01-01,94.525,95.624,95.651,94.505,80.359,84.822
2016-02-01,94.593,95.722,95.658,94.581,80.478,84.917
2016-03-01,94.626,95.771,95.749,94.595,80.535,84.995
2016-04-01,94.665,95.832,95.803,94.624,80.63,85.079
2016-05-01,94.727,95.872,95.845,94.69,80.855,85.247
2016-06-01,94.813,95.936,95.93,94.776,81.178,85.495
2016-07-01,94.936,95.997,96.024,94.908,81.619,85.816
2016-08-01,95.056,96.046,96.097,95.042,82.076,86.14
2016-09-01,95.186,96.12,96.192,95.186,82.434,86.406
2016-10-01,95.416,96.222,96.312,95.462,83.025,86.834
2016-11-01,95.656,96.292,96.428,95.764,83.573,87.217
2016-12-01,95.727,96.337,96.467,95.843,83.656,87.291
2017-01-01,95.748,96.342,96.484,95.862,83.68,87.314
2017-02-01,95.759,96.355,96.508,95.866,83.712,87.343
2017-03-01,95.784,96.391,96.537,95.883,83.796,87.414
2017-04-01,95.82,96.424,96.569,95.916,83.911,87.505
2017-05-01,95.87,96.451,96.615,95.962,84.095,87.645
2017-06-01,96.037,96.482,96.67,96.177,84.813,88.125
2017-07-01,96.262,96.555,96.875,96.427,85.541,88.68
2017-08-01,96.491,96.638,96.974,96.702,86.44,89.296
2017-09-01,96.572,96.79,97.039,96.757,86.569,89.426
2017-10-01,96.681,96.917,97.137,96.854,86.955,89.706
2017-11-01,96.814,97.047,97.23,96.98,87.494,90.101
2017-12-01,96.913,97.083,97.272,97.097,88.072,90.508
2018-01-01,97.094,97.139,97.41,97.299,89.062,91.149
2018-02-01,97.304,97.332,97.618,97.497,89.94,91.782
2018-03-01,97.547,97.459,97.804,97.764,91.068,92.625
2018-04-01,97.711,97.671,97.967,97.897,91.807,93.27
2018-05-01,97.81,97.916,98.054,97.948,92.173,93.623
2018-06-01,97.904,98.116,98.148,98.003,92.531,93.981
2018-07-01,98.018,98.369,98.401,98.022,93.02,94.535
2018-08-01,98.227,98.493,98.521,98.249,94.107,95.291
2018-09-01,99.193,99.093,99.15,99.316,97.716,98.008
2018-10-01,99.75,99.419,99.521,99.926,99.512,99.41
2018-11-01,99.902,99.637,99.739,100.03,99.905,99.805
2018-12-01,99.98,99.908,99.881,100.028,100.014,99.96
2019-01-01,100,100,100,100,100,100
2019-02-01,99.934,100.076,99.964,99.886,99.908,99.953
2019-03-01,99.829,100.174,99.946,99.693,99.739,99.869
2019-04-01,99.691,100.233,99.942,99.453,99.595,99.869
2019-05-01,99.625,100.323,99.973,99.315,99.535,99.919
2019-06-01,99.538,100.461,100.05,99.118,99.459,100.037
2019-07-01,99.531,100.617,100.116,99.03,99.827,100.302
2019-08-01,99.586,100.753,100.3,99.014,100.229,100.682
2019-09-01,99.64,100.76,100.424,99.041,100.677,101.06
2019-10-01,99.733,100.766,100.473,99.152,101.26,101.432
2019-11-01,99.874,100.869,100.567,99.297,101.83,101.848
2019-12-01,100.222,101.002,100.718,99.726,102.92,102.56
2020-01-01,100.576,101.249,100.991,100.103,103.606,103.056
2020-02-01,100.948,101.366,101.197,100.559,104.139,103.417
2020-03-01,101.511,101.53,101.395,101.295,104.901,103.905
2020-04-01,101.744,101.702,101.575,101.548,105.063,104.072
2020-05-01,101.884,101.888,101.743,101.658,105.062,104.092
2020-06-01,102.377,102.263,102.252,102.149,105.606,104.641
2020-07-01,103.278,102.473,102.776,103.284,107.864,106.162
2020-08-01,104.081,102.714,103.346,104.246,110.079,107.757
2020-09-01,104.909,102.891,103.801,105.298,112.276,109.284
2020-10-01,105.611,103.553,104.783,105.905,113.112,110.303
2020-11-01,107.125,104.334,106.398,107.506,114.853,112.139
2020-12-01,108.586,104.909,107.237,109.346,116.365,113.532
2021-01-01,109.878,105.303,107.895,111.005,118.23,114.974
2021-02-01,111.375,105.718,108.706,112.957,120.121,116.29
2021-03-01,112.842,106.095,109.425,114.911,121.721,117.411
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
